;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;PLANTASUR 2026;;;;;
;;;;;;;;;;;;;;;;01/01/2026;;;;;
;;;;;;;;;;;;;;;;0;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;MQP;QP;EQP;SEL;HP;ELP;ELP;ELP;EP;EP;EP;EP;EP;FP;FP;FP;FP;FP;
;;;Mini Quarter;Quarter;Super Euro Light;Half;Extra Light;;;Euro Pallet;;;;;Full;;;;;;
;;;1 Pallet;1 Pallet;1 Pallet;1 Pallet;1 Pallet;2 Pallet;3 Pallet;1 Pallet;2 Pallet;3 Pallet;4 Pallet;5 Pallet;1 Pallet;2 Pallet;3 Pallet;4 Pallet;5 Pallet;;
;;;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;PREMIUM;;
;31;Zona 21;37,07;39,39;44,86;46,19;47,66;45,92;44,77;49,66;47,88;46,71;46,13;45,53;51,06;49,32;48,16;47,57;47,01;;
;32;Zona 22;38,71;42,33;48,69;51,15;51,63;49,82;48,62;53,75;51,91;50,67;50,05;49,45;55,16;53,34;52,13;51,53;50,92;;
;33;Zona 23;39,69;44,44;50,75;53,19;54,25;52,44;51,28;56,99;55,19;53,98;53,35;52,76;58,30;56,52;55,33;54,75;54,13;;
;34;Zona 24;41,39;46,33;52,59;55,24;57,58;55,73;54,49;60,46;58,59;57,33;56,70;56,08;61,77;59,92;58,69;58,08;57,46;;
;35;Zona 25;42,81;47,60;54,41;57,59;59,86;58,05;56,85;62,74;60,91;59,68;59,07;58,46;63,95;62,16;60,96;60,36;59,76;;
;1;Zona 1;39,48;41,81;53,68;58,53;58,61;56,87;55,11;61,90;60,12;58,33;57,75;57,15;63,20;61,44;59,70;59,11;58,53;;
;2;Zona 2;40,65;42,98;54,85;59,70;59,78;58,03;56,28;65,46;63,69;60,71;60,12;59,52;66,68;64,93;62,03;61,44;60,86;;
