;;OFERTA DISTRIBUCI‡N EXPRESS PALETIZADA;;;;;;;;;;;;;;;;;;
;;SERVICIO EXPRESS: 24/48 HORAS;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PLANTA SUR CONDICIONES VIP : TARIFA 2025;;;;;;;;;;
;OFERTA;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;TIPO PALLET;MINI;CUARTO;MEDIO;LIGERO;  PLUMA ;(80X120) 220 Alto y hasta 300 kg;;;;;;;;;;;;;
;Zona 1;28,43 ?;35,71 ?;44,10 ?;48,58 ?;44,51 ?;;;;;;;;;;;;;;
;Zona 2;29,55 ?;36,82 ?;45,22 ?;49,70 ?;46,02 ?;;;;;;;;;;;;;;
;Zona 3;30,67 ?;37,94 ?;47,46 ?;51,94 ?;46,92 ?;;;;;;;;;;;;;;
;Zona 4;30,33 ?;38,17 ?;48,24 ?;52,72 ?;49,40 ?;                    MINI PALê                            CUARTO PALê                      MEDIO PALê                     PALê LIGERO                    PALê COMPLETO                PALê SUPER;;;;;;;;;;;;;
;Zona 5;35,71 ?;43,54 ?;51,94 ?;56,41 ?;51,23 ?;               1,2x1x0,6m              1,2x1x0,8 m                1,2x1x1,8m                 1,2x1x2,2m              1,2x1x1,8m                  1,2x1x2,2m;;;;;;;;;;;;;
;Zona 6;37,94 ?;45,89 ?;56,52 ?;62,57 ?;54,03 ?;                       Max 150kg                             Max 300 kg                         Max 450 kg                       Max 600 kg                          Max 800 kg                          Max 1200 kg;;;;;;;;;;;;;
;Zona 7;39,06 ?;48,13 ?;63,24 ?;67,72 ?;58,01 ?;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;COMPLETO;1 Palet;2 Palets;3 Palets;4 Palets;5 Palet ;6 palet;7 palet;;SUPER;1 Palet;2 Palets;3 Palets;4 Palets;5 Palet ;6 palet;7 palet;;;
;Zona 1;54,45 ?;52,77 ?;51,66 ?;51,10 ?;50,54 ?;49,98 ?;49,42 ?;;Zona 1;63,41 ?;58,37 ?;57,25 ?;56,69 ?;56,13 ?;55,57 ?;55,01 ?;;;
;Zona 2;56,69 ?;55,01 ?;53,89 ?;53,33 ?;52,77 ?;52,22 ?;51,66 ?;;Zona 2;62,29 ?;60,61 ?;59,49 ?;58,93 ?;58,37 ?;57,81 ?;57,25 ?;;;
;Zona 3;60,05 ?;58,37 ?;57,25 ?;56,69 ?;56,13 ?;55,57 ?;55,01 ?;;Zona 3;65,65 ?;63,97 ?;62,85 ?;62,29 ?;61,73 ?;61,17 ?;60,61 ?;;;
;Zona 4;60,05 ?;58,37 ?;57,25 ?;56,69 ?;56,13 ?;55,57 ?;55,01 ?;;Zona 4;65,65 ?;63,97 ?;62,85 ?;62,29 ?;61,73 ?;61,17 ?;60,61 ?;;;
;Zona 5;69,00 ?;66,77 ?;65,65 ?;65,09 ?;64,53 ?;63,97 ?;63,41 ?;;Zona 5;74,60 ?;72,36 ?;71,24 ?;70,12 ?;69,56 ?;69,00 ?;67,89 ?;;;
;Zona 6;72,47 ?;69,12 ?;68,00 ?;66,88 ?;65,76 ?;64,64 ?;63,52 ?;;Zona 6;79,08 ?;76,95 ?;73,59 ?;72,47 ?;71,36 ?;70,24 ?;69,12 ?;;;
;Zona 7;82,55 ?;80,31 ?;77,96 ?;76,84 ?;74,71 ?;73,59 ?;73,03 ?;;Zona 7;90,27 ?;88,14 ?;85,91 ?;84,79 ?;83,67 ?;82,55 ?;81,43 ?;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;ZONAS;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;2. AREA NACIONAL;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Zona 1:;Madrid;;;;;;;;;;;;;;;;;;
;Zona 2:;Toledo,;;;;;;;;;;;;;;;;;;
;Zona 3:;Avila,Guadalajara,Segovia y Valladolid;;;;;;;;;;;;;;;;;;
;Zona 4:;Alava,Alicante,Burgos,Castellon,Leon,Rioja,Murcia,Salamanca,Soria,Teruel,Valencia,Zaragoza y C.Real ;;;;;;;;;;;;;;;;;;
;Zona 5:;Asturias, Cantabria, Cuenca, Gipuzcoa, Navarra, Vizcaya,Palencia ,Albacetey Zamora;;;;;;;;;;;;;;;;;;
;Zona 6:; Barcelona, Huesca,  Tarragona;;;;;;;;;;;;;;;;;;
;Zona 7:;A Coru§a, Gerona, Lugo, Orense, Pontevedra,Caceres, Badajoz y Lerida;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
