;;;Cliente;Planta Duch S.A.;;;
;;;;;;;
;;;Tarifa n§;80005;;;
;;;;;;;
;;;;;;;
;;TARIFA DISTRIBUCION : ALMERIA , JAEN Y MALAGA ;;;;;
;;;;;;;
;;;;;;;
;;;Vigencia;2014;;;
;;;;;;;
;;;FRACCION;B 01;;;
;;;50; 7,20 ? ;;;
;;;60; 8,01 ? ;;;
;;;70; 8,84 ? ;;;
;;;80; 9,70 ? ;;;
;;;90; 10,51 ? ;;;
;;;100; 11,34 ? ;;;
;;;120; 13,00 ? ;;;
;;;140; 14,66 ? ;;;
;;;160; 16,18 ? ;;;
;;;180; 17,84 ? ;;;
;;;200; 19,07 ? ;;;
;;;230; 21,51 ? ;;;
;;;260; 23,90 ? ;;;
;;;290; 26,39 ? ;;;
;;;320; 28,68 ? ;;;
;;;350; 30,95 ? ;;;
;;;380; 32,03 ? ;;;
;;;410; 34,12 ? ;;;
;;;440; 34,86 ? ;;;
;;;470; 36,06 ? ;;;
;;;500; 38,28 ? ;;;
;;;550; 41,17 ? ;;;
;;;600; 43,87 ? ;;;
;;;650; 47,32 ? ;;;
;;;700; 49,82 ? ;;;
;;;750; 52,11 ? ;;;
;;;800; 54,22 ? ;;;
;;;850; 57,70 ? ;;;
;;;900; 62,80 ? ;;;
;;;1000; 67,07 ? ;;;
;;;2000; 63,73 ? ;;;
;;;3000; 53,92 ? ;;;
;;;>5000; 48,88 ? ;;;
;;;A partir de 2001 kgrs las unidades se expresan en ?/tonelada;;;;
;;;;;;;
;;;A partir del 20/06/2014 se aplicara volumen a aquellos envios que por;;;;
;;;sus caracteristicas superen el peso real de la mercancia siendo la converscion;;;;
;;;de volumen de 200 kgrs por m/3 ;;;;
